文件名,思维链ID,catalog,show_name,测试数据内容,测试维度,子维度,测试数据编号,匹配数量,arm匹配数量,x86匹配数量,ds_arm_1763465633,ds_arm_1763473579,ds_arm_1763481480,ds_arm_1763489334,ds_arm_1763497259,ds_arm_1763505166,ds_arm_1763513051,ds_arm_1763520920,ds_arm_1763528836,ds_x86_1763465597,ds_x86_1763471092,ds_x86_1763476565,ds_x86_1763482028,ds_x86_1763487471,ds_x86_1763492916,ds_x86_1763498413,ds_x86_1763503903,ds_x86_1763509373
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,APC优化气化炉控制，提升平稳性,输入表述形态多样性,口语化简化表述,2011/3/1,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,电解槽槽温波动，APC控制优化一下,输入表述形态多样性,口语化简化表述,2011/3/2,9,0,9,,,,,,,,,,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,常减压装置APC优化，降低操作频次,输入表述形态多样性,口语化简化表述,2011/3/3,0,0,0,,,,,,,,,,,,,,,,,,
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,乙烯塔温度控制，APC方案优化,输入表述形态多样性,口语化简化表述,2011/3/4,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,重整装置APC控制优化，提升平稳性,输入表述形态多样性,口语化简化表述,2011/3/5,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,查询APC控制方案参数（非优化）,意图边界与歧义性,相似意图区分,2011/4/1,0,0,0,,,,,,,,,,,,,,,,,,
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,如何通过APC提高气化炉运行平稳性，降低操作频次（核心意图）,意图边界与歧义性,相似意图区分,2011/4/2,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,停用APC控制（非优化）,意图边界与歧义性,相似意图区分,2011/4/3,0,0,0,,,,,,,,,,,,,,,,,,
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,校准APC控制仪表（非优化）,意图边界与歧义性,相似意图区分,2011/4/4,0,0,0,,,,,,,,,,APC过程控制模型创建流程（含数据辨识）,,,,,,,,
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,备份APC控制参数（非优化）,意图边界与歧义性,相似意图区分,2011/4/5,0,0,0,,,,,,,,,,,,,,,,,,
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,现在是白班，设备运行基本稳定，如何通过APC提高气化炉运行平稳性，降低操作频次,干扰因素与鲁棒性,冗余信息叠加,2011/5/1,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,操作员反映工作量较大，针对电解槽槽温等关键指标波动，如何进一步提高运行平稳性，降低操作频次,干扰因素与鲁棒性,冗余信息叠加,2011/5/2,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,能耗指标要求提高，常减压装置常压塔温度波动大，操作频次高，如何优化控制以提升运行平稳性,干扰因素与鲁棒性,冗余信息叠加,2011/5/3,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,产品质量波动明显，乙烯装置乙烯塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性,干扰因素与鲁棒性,冗余信息叠加,2011/5/4,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,设备老化性能下降，重整装置分馏塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性,干扰因素与鲁棒性,冗余信息叠加,2011/5/5,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,新装置投运调试期，如何通过APC提高气化炉运行平稳性，降低操作频次,实际工况适配性,全工况场景,2011/6/1,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,原料性质变化期，针对电解槽槽温等关键指标波动，如何进一步提高运行平稳性，降低操作频次,实际工况适配性,全工况场景,2011/6/2,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,负荷调整频繁时，常减压装置常压塔温度波动大，操作频次高，如何优化控制以提升运行平稳性,实际工况适配性,全工况场景,2011/6/3,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,设备故障恢复后，乙烯装置乙烯塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性,实际工况适配性,全工况场景,2011/6/4,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,工艺优化升级期，重整装置分馏塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性,实际工况适配性,全工况场景,2011/6/5,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,16,control,复杂回路AI智能控制方案构建流程,G_LT_13001.PV过程变量，大波动过程无法通过PID、APC实现自动化控制，如何实现智能控制,场景与功能全覆盖,直接复用语料,2016/1/1,18,9,9,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程
control_ds.csv,16,control,复杂回路AI智能控制方案构建流程,G_LT_13001.PV过程变量受未知因素的影响、大时间滞后，工况多变，如何实现该回路的自动化控制,场景与功能全覆盖,直接复用语料,2016/1/2,18,9,9,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程
control_ds.csv,16,control,复杂回路AI智能控制方案构建流程,一次盐水折流槽pH无法通过PID、APC控制，请用AI实现pH控制,场景与功能全覆盖,直接复用语料,2016/1/3,18,9,9,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程
control_ds.csv,16,control,复杂回路AI智能控制方案构建流程,F_TIC_16008.PV过程变量受未知干扰因素影响，无法实现自动控制，怎样实现该回路的自动控制？,场景与功能全覆盖,直接复用语料,2016/1/4,18,9,9,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程,复杂回路AI智能控制方案构建流程
