title,workflow_json,catalog
操作员反映问题，帮我评估有什么异常,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""控制回路性能评估及诊断\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[]""}",statistics
文档格式标准，基于pdf上传文件，帮我分析存在什么异常？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""builtin\"",\""ability\"":\""上传数据与解析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""builtin\"",\""ability\"":\""确认解析结果\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""IDX\"",\""ability\"":\""执行查询与反馈\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq true\""}]""}",statistics
新装置设计优化，请帮我对换热网络进行全局改造，目标是年度化改造收益最大,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id3\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 0\""},{\""from\"":\""id3\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",optimization
更换常减压装置换热网络部件（非优化改造）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[]""}",optimization
查询考试题目（非生成）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""OTS\"",\""ability\"":\""检测评分服务状态\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""OTS\"",\""ability\"":\""查询考试题目\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""OTS\"",\""ability\"":\""生成工艺模型并执行\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",simulation
申请新增FIC10001回路，回路描述为NaOH流量1，完成基础信息维护,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""builtin\"",\""ability\"":\""用户交互界面\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""suggestTuningMethod\\\"")]) Eq 2\""}]""}",statistics
电解槽闭环控制，自动调温,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id6\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id7\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id5\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id10\"",\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
维修1号电解槽离子膜（非更换时机评估）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""离子膜寿命预测\"",\""dep\"":[\""id2\""]},{\""id\"":\""id5\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""配置方案\"",\""dep\"":[\""id1\""]},{\""id\"":\""id6\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""实时计算\"",\""dep\"":[\""id5\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""opt_model_selected\\\"")]) Eq false\""},{\""from\"":\""id1\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""opt_model_selected\\\"")]) Eq true\""}]""}",prediction
维护常减压装置换热网络设备（非优化改造）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id3\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 0\""},{\""from\"":\""id3\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",optimization
自动化水平要求提高，如何设计电解槽的闭环控制系统，使其能自主调节槽温偏差，从而显著降低人工校正的频率？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id5\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id9\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id8\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id10\"",\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
节能技术应用评估，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[]""}",evaluation
